,原文,主题分布向量
181,乘务员和乘警呢十分钟没一个路过的么,0.072 0.072 0.072 0.072 0.072 0.571 0.072
182,换的时候是不是就吵架了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
183,不要和解 都送进去,0.048 0.048 0.048 0.048 0.714 0.048 0.048
184,三男子占座理亏还打人,0.072 0.571 0.072 0.072 0.072 0.072 0.072
185,希望早日有相关政策整治公共交通工具上的i怒人,0.072 0.072 0.072 0.072 0.072 0.571 0.072
186,打架的不管 管化妆,0.714 0.048 0.048 0.048 0.048 0.048 0.048
187,乘务人员呢,0.071 0.071 0.071 0.071 0.071 0.571 0.071
188,这么嚣张,0.071 0.071 0.071 0.571 0.071 0.071 0.071
189,素质差,0.072 0.571 0.072 0.072 0.072 0.072 0.072
190,10分钟竟然没有人管?高铁上的乘务员乘警什么的都死了吗,0.048 0.048 0.048 0.048 0.714 0.048 0.048
191,除了法律范围内的处罚外建议把这三个人列入禁止乘坐铁路系统的黑名单,0.072 0.072 0.072 0.571 0.072 0.072 0.072
192,好吓人啊,0.571 0.072 0.072 0.072 0.072 0.072 0.072
193,就没人制止都是什么人种,0.072 0.072 0.072 0.072 0.072 0.571 0.072
194,乘警抓化妆的去了还是忙着给盒饭贴标签,0.072 0.571 0.072 0.072 0.072 0.072 0.072
195,抓化妆的去啦,0.072 0.072 0.072 0.072 0.571 0.072 0.072
196,一打三这分明就是武林中人欺负平民百姓互殴没跑了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
197,处理打人者,0.072 0.072 0.570 0.072 0.072 0.072 0.072
198,这种人建议直接拉到铁路黑名单吧,0.072 0.571 0.072 0.072 0.072 0.072 0.072
199,我尼玛 报警 要钱,0.036 0.036 0.036 0.785 0.036 0.036 0.036
200,对于这种人应该永久拉入黑名单,0.072 0.072 0.072 0.072 0.072 0.072 0.571
201,看看最可恶de永远是成年人,0.072 0.571 0.072 0.072 0.072 0.072 0.072
202,必须严惩凶手,0.072 0.072 0.570 0.072 0.072 0.072 0.072
203,除了受害人其他真不需要打码了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
204,还手了不会又定为互殴吧,0.072 0.072 0.570 0.072 0.072 0.072 0.072
205,人家卖35元盒饭去了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
206,乘务员你在哪,0.072 0.571 0.072 0.072 0.072 0.072 0.072
207,这种人就该终身禁坐飞机也禁怕他在飞机上搞破坏以后让他自己走去坐等警方处理,0.571 0.072 0.072 0.072 0.072 0.072 0.072
208,刑拘打人者,0.072 0.571 0.072 0.072 0.072 0.072 0.072
209,关注后续,0.571 0.072 0.072 0.072 0.072 0.072 0.072
210,10分钟都没人管管吗,0.072 0.072 0.072 0.571 0.072 0.072 0.072
211,周五在去深圳的船上我起身去买水我按票入座的行李被一对夫妻拿到一旁当我回到座位上对方直接完全无视我非常无语想了想为了不影响其他乘客我只好让阿姨把我放在内侧的伞拿出来坐到一边…有些人的素质可见一斑,0.048 0.048 0.048 0.048 0.048 0.714 0.048
212,动车上的违法犯罪行为有铁路公安处置请等待铁路警方调查处理通报,0.072 0.072 0.072 0.072 0.571 0.072 0.072
213,这种人直接黑名单吧,0.571 0.072 0.072 0.072 0.072 0.072 0.072
214,请将抢占他人座位的人拉黑永久禁止高铁出行2023年还有如此嚣张跋扈占座行为,0.072 0.072 0.072 0.072 0.571 0.072 0.072
215,这女孩的父亲看了不得吧这三个打死,0.072 0.072 0.072 0.072 0.571 0.072 0.072
216,不是一家人不进一家门一家子的坏蛋,0.072 0.072 0.072 0.571 0.072 0.072 0.072
217,这种人就该摁住三个其中一个人往死里揍直接插她双眼让她们知道谁也不是好惹的,0.072 0.072 0.072 0.072 0.571 0.072 0.072
218,人渣,0.071 0.071 0.071 0.071 0.071 0.071 0.571
219,这些人怎么有底气的无理取闹,0.072 0.072 0.072 0.072 0.072 0.072 0.571
220,殴打十分钟高铁的工作人员都si了被打十分钟都没人来管,0.072 0.072 0.072 0.072 0.072 0.072 0.571
221,殴打的时候乘警在哪里怎么感觉现在越来越不安全了那些保护人民生命安全的人哪里去了,0.072 0.072 0.072 0.571 0.072 0.072 0.072
222,我之前在高铁上遇到东北的一个男的占了我的位置我很礼貌的跟他说我的位置结果被他大骂一顿侮辱说我不识字还让我给他看手机我不给他就一直骂我自己又确认了一遍位置没错后面我就自己走到两个车厢连接处站着我旁边的人说那东北爷们把他旁边的人都骂了一遍太变态了,0.072 0.072 0.072 0.072 0.072 0.072 0.571
223,河北除了打架就是S人,0.072 0.571 0.072 0.072 0.072 0.072 0.072
224,这要是一个190200斤壮汉我看他们三个敢不敢,0.072 0.072 0.072 0.571 0.072 0.072 0.072
225,可以抓去拘留了,0.072 0.571 0.072 0.072 0.072 0.072 0.072
226,我想知道后续,0.072 0.072 0.072 0.072 0.072 0.571 0.072
227,乘务员乘警成摆设了,0.072 0.072 0.570 0.072 0.072 0.072 0.072
228,拘留加黑名单谢谢,0.072 0.571 0.072 0.072 0.072 0.072 0.072
229,无妄之灾,0.072 0.072 0.072 0.072 0.571 0.072 0.072
230,乘警去隔壁车厢处理化妆问题了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
231,反省一下是不是惹男宝们生气了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
232,应该把大人的人好好曝光一下真不知道他们亲朋好友怎么看不过这样人估计也没请朋友好友,0.072 0.072 0.570 0.072 0.072 0.072 0.072
233,胆子这么大吗,0.072 0.571 0.072 0.072 0.072 0.072 0.072
234,估计这三个都是光棍,0.072 0.072 0.072 0.571 0.072 0.072 0.072
