微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4.95E+15,8,4.95E+15,2023/9/16 14:03,2,来自上海,者耳仲,6308790756,男,1754,528,这行为多文明啊 比高铁化妆文明多了[笑而不語]
4.95E+15,8,4.95E+15,2023/9/16 13:53,0,来自北京,橘子果酱ymj,6531569502,女,313,293,我去三亚的飞机上，我后座的一位男士一直用膝盖顶我座椅，我阻止了他，他生气了，说他自己座椅躺不下去，说我座椅靠下去影响到了他。。
4.95E+15,8,4.95E+15,2023/9/16 13:51,0,来自北京,奥斯卡双皮奶,6390353249,女,3769,82,封神诡异好看的，懂的都懂
4.95E+15,8,4.95E+15,2023/9/16 13:40,0,来自江苏,叫什么好呢大笨鹅吧,1220605953,男,1974,281,这种人应该终身禁止坐高铁
4.95E+15,8,4.95E+15,2023/9/16 13:20,6,来自陕西,凯利马克,2129617071,男,2305,1063,就是对这种东西惩罚太轻 所以不守规矩的人还是很多
4.95E+15,8,4.95E+15,2023/9/16 20:22,1,来自河北,12Rita25,2808579534,女,395,154,这才应该加入宣传片
4.95E+15,8,4.95E+15,2023/9/16 19:18,1,来自河北,吧趣,6575412013,男,507,1344,拘留几天就是鼓励
4.95E+15,8,4.95E+15,2023/9/16 19:16,1,来自云南,霍格沃滋挂科崽,5686353693,男,554,306,非常好，化妆是不文明行为，辱骂殴打可以十分钟🙏
4.95E+15,8,4.95E+15,2023/9/16 15:06,1,来自广东,佛系田兲,3910924384,男,504,113,被打了这么久，工作人员呢？
4.95E+15,8,4.95E+15,2023/9/16 13:47,1,来自天津,26颗栗子,2269438897,女,16186,743,太嚣张了，进黑名单啊危害社会的玩意儿
4.95E+15,8,4.95E+15,2023/9/16 13:35,1,来自四川,把你写进我的梦想清单,2493887081,女,227,1.1万,寻衅滋事罪
4.95E+15,8,4.95E+15,2023/9/16 13:04,6,来自山东,春风十里不如你三月桃花相映红,6869809061,女,908,134,没人帮忙么
4.95E+15,8,4.95E+15,2023/9/19 13:55,0,来自湖北,服部朵拉种植园-,3990906223,女,905,381,那个男的怎么还一直扯人家的衣服啊
4.95E+15,8,4.95E+15,2023/9/18 17:40,0,来自重庆,街边多肉喵,1899631705,女,1270,298,因为是女的，你被打被害无所谓没人在乎的，但是你有一小丢丢可能会影响到别人的行为那就必须上岗上线了@中国铁路
4.95E+15,8,4.95E+15,2023/9/18 6:11,0,来自河南,Trash_ing,6094110102,女,395,166,md
4.95E+15,9,4.95E+15,2023/9/17 23:44,0,来自浙江,沈悦微v,6755801438,女,483,9.4万,是不是太离谱了？公共场合一言不合大打出手……
4.95E+15,9,4.95E+15,2023/9/17 17:34,0,来自英国,演员巩俐_,6470626172,女,23,19,@溯莓 高铁上化妆他们管打人就不管 拆那是这样的
4.95E+15,9,4.95E+15,2023/9/17 17:14,0,来自陕西,柯柯屿雾,7777724324,女,330,86,故意伤害给我进去，我不开玩笑
4.95E+15,9,4.95E+15,2023/9/17 16:49,0,来自陕西,雨夜量販頌,6162981289,女,493,51,这个行为挺文明的是吧
4.95E+15,9,4.95E+15,2023/9/17 16:47,1,来自陕西,五颗星星闪闪,3735407202,女,1027,100,限制出行，限制子女考公考编
4.95E+15,9,4.95E+15,2023/9/17 16:39,1,来自上海,laughqueena_YLP,1828529044,女,571,392,三个打一个，说不是黑社会都不信
4.95E+15,9,4.95E+15,2023/9/17 16:38,0,来自内蒙古,白痴-a,6213872410,女,25,63,@中国铁路 这怎么说？
4.95E+15,9,4.95E+15,2023/9/17 14:46,1,来自福建,猫耳熊,1695065191,男,843,1957,然后万一还手就变成互殴，不还手就这样被活活打10分钟没人管，真是讽刺
4.95E+15,9,4.95E+15,2023/9/17 14:40,0,来自宁夏,是一个快乐星球,7076197780,女,1101,268,一天天的早晚在网上被活活气死
4.95E+15,9,4.95E+15,2023/9/17 14:39,0,来自山东,晚熙治愈,7497834077,女,315,16,疯子。。
4.95E+15,9,4.95E+15,2023/9/17 12:01,0,来自新疆,他说没说他是岛民啊,5580804304,女,41,72,是不是因为不是化妆所以10分钟才有人管呀
4.95E+15,9,4.95E+15,2023/9/17 10:52,0,来自辽宁,灿灿爱螃蟹,1769637735,女,528,348,//@莲花二枝荷叶三个: 可能在忙着给盒饭贴新价签吧。//@快藏起来啦_:我也很好奇，我记得列车工作人员应该蛮多的，不至于十分钟还到达不了现场吧//@我还叫波猪的海:这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？
4.95E+15,9,4.95E+15,2023/9/17 10:27,0,来自天津,章元,1144434464,女,711,9.4万,刚则吐之，柔则茹之？
